"State","rank0","rank17","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Ohio",29,12,17.1,6.6,6.1,5.6,5,4.6,4.4,4.3,3.7,3.4,3.4,2.9,3.8,4.6,5.6,6.8,6.9,5.2
"Oklahoma",3,48,25.6,9,8.1,6.7,6.2,6,5.4,5.2,4.5,4.2,3.6,3.3,3,2.3,2,2,1.7,1.2
"Oregon",22,41,18.6,8.3,7.7,6.8,6.3,5.6,5.7,4.9,4.4,4.6,3.9,3.9,3.5,3.8,3.4,3.7,3.1,1.8
"Pennsylvania",42,5,14.6,6.7,5.9,4.7,4.3,4,4,3.7,3.8,3,3.1,2.9,3.5,4.5,6.5,8.4,9.4,7.1
"Rhode Island",10,8,21,6.9,4.6,3.8,4.2,3.1,2.4,3.3,3.4,3,2.3,2.8,3.5,6,6.1,7.6,9.1,6.9
"South Carolina",40,45,15.3,7.6,5.6,5.6,5.4,6.3,5.5,5.7,5.4,4.3,4.5,4.1,3.7,4.6,4.7,4.9,5.2,1.5
"South Dakota",38,44,15.7,9.8,6.9,6.9,7.6,5.8,4.7,5.6,4.5,4.4,4.3,4.1,4.5,4,3.4,3.5,2.8,1.6
"Tennessee",50,1,11.8,5,4.5,3.7,4,3.2,3.1,3.3,3.3,3.2,2.9,2.7,3.5,4.9,7.4,9.6,12.5,11.4
"Texas",10,46,21,9.5,8.1,6.9,6.3,5.8,5.7,5.1,4.5,4.3,3.5,3.2,3.1,3,3,3.1,2.8,1.3
"Utah",30,19,16.9,7.1,6.7,5.6,5.6,5.1,3.9,4.3,4.6,4.5,3.7,3.2,3,4.1,5.8,6.1,5.6,4.2
"Vermont",31,30,16.8,7.5,7.5,7,5,5.6,5.5,3.4,4.2,4.9,3,2.7,4.3,4.6,4,5.7,5.2,3
"Virginia",35,7,16.2,6.9,6.2,5,4.8,3.8,3.9,3.9,3.9,3.8,3.8,3,4.1,4.1,6,7.2,6.3,7
"Washington",1,43,26.7,8.4,7.9,6.2,5.4,5,4.3,5,3.9,3.7,3.6,3.7,3.2,2.3,2.9,3.4,2.9,1.7
"West Virginia",48,9,13.3,5.8,5.3,5.9,4.6,4.6,4.4,4,3.4,3.3,3.3,3.1,3.9,4.9,6.1,8.5,8.8,6.8
"Wisconsin",36,26,16,7.2,6.5,4.8,5,5,4.3,4.6,4.1,4.2,3.7,3.5,3.8,4.3,6.1,7.1,6.5,3.3
"Wyoming",51,2,8.5,6.6,5.5,5.1,4,4,3.8,4.5,3.7,3.3,3.4,3.5,4.3,4.5,7.3,10,10.1,7.8
