date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,0,6,1,5,2.05
2014,0,6,1,6,2.27
2014,0,6,2,1,.93
2014,0,6,2,2,.29
2014,0,6,2,3,.90
2014,0,6,2,4,.27
2014,0,6,2,5,4.58
2014,0,6,3,1,5.41
2014,0,6,3,2,3.63
2014,0,6,3,3,4.03
2014,0,6,3,4,1.74
2014,0,6,3,5,2.26
2014,0,6,3,6,2.24
2014,0,6,4,1,6.95
2014,0,6,4,2,4.28
2014,0,6,4,3,6.72
2014,0,6,4,4,2.65
2014,0,6,4,5,3.49
2014,0,6,4,6,3.78
2014,0,8,0,1,117.07
2014,0,8,0,2,54.21
2014,0,8,0,3,51.78
2014,0,8,0,4,46.38
2014,0,8,0,5,49.79
2014,0,8,0,6,56.72
2014,0,8,1,1,28.86
2014,0,8,1,2,15.76
2014,0,8,1,3,11.77
2014,0,8,1,4,11.78
2014,0,8,1,5,15.51
2014,0,8,1,6,17.66
2014,0,8,2,1,5.52
2014,0,8,2,2,2.97
2014,0,8,2,3,1.24
2014,0,8,2,4,1.98
2014,0,8,2,5,1.71
2014,0,8,2,6,3.10
2014,0,8,3,1,79.29
2014,0,8,3,2,35.57
2014,0,8,3,3,37.55
2014,0,8,3,4,32.49
2014,0,8,3,5,33.35
2014,0,8,3,6,39.33
2014,0,8,4,1,93.28
2014,0,8,4,2,39.53
2014,0,8,4,3,43.19
2014,0,8,4,4,39.31
2014,0,8,4,5,40.95
2014,0,8,4,6,48.96
2014,0,9,0,1,46.24
2014,0,9,0,2,45.22
2014,0,9,0,3,41.24
2014,0,9,0,4,41.67
2014,0,9,0,5,34.82
2014,0,9,0,6,46.24
2014,0,9,1,1,13.93
2014,0,9,1,2,13.07
2014,0,9,1,3,10.31
2014,0,9,1,4,13.16
2014,0,9,1,5,11.80
2014,0,9,1,6,15.30
2014,0,9,2,1,2.31
2014,0,9,2,2,2.48
2014,0,9,2,3,2.55
2014,0,9,2,4,3.28
2014,0,9,2,5,1.77
2014,0,9,2,6,3.47
2014,0,9,3,1,30.68
2014,0,9,3,2,28.22
2014,0,9,3,3,24.15
2014,0,9,3,4,24.88
2014,0,9,3,5,23.10
2014,0,9,3,6,30.64
2014,0,9,4,1,37.68
2014,0,9,4,2,34.67
2014,0,9,4,3,32.10
