"date","ageSib","ethnicityCensus","geog","datacol"
"2019",0,8,31,88.77
"2019",0,8,32,187.05
"2019",0,8,33,128.57
"2019",0,8,34,64.07
"2019",0,8,36,229.73
"2019",0,8,37,144.62
"2019",0,8,38,33.33
"2019",0,8,39,81.57
"2019",0,9,1,45.32
"2019",0,9,2,1666.67
"2019",0,9,3,70.82
"2019",0,9,4,34.26
"2019",0,9,5,72.13
"2019",0,9,6,67.41
"2019",0,9,8,88.41
"2019",0,9,9,53.59
"2019",0,9,11,50.21
"2019",0,9,13,51.8
"2019",0,9,14,72.46
"2019",0,9,15,54.11
"2019",0,9,16,136.36
"2019",0,9,17,50.72
"2019",0,9,18,62.04
"2019",0,9,19,118.18
"2019",0,9,20,66.67
"2019",0,9,21,78.88
"2019",0,9,23,91.27
"2019",0,9,24,37.51
"2019",0,9,25,97.4
"2019",0,9,27,61.86
"2019",0,9,28,280.7
"2019",0,9,29,70.28
"2019",0,9,30,100
"2019",0,9,31,60.31
"2019",0,9,32,120.58
"2019",0,9,33,346.15
"2019",0,9,34,56.04
"2019",0,9,36,59.79
"2019",0,9,37,72.62
"2019",0,9,38,258.06
"2019",0,9,39,68.55
"2019",0,10,2,628.57
"2019",0,10,3,173.1
"2019",0,10,4,1200
"2019",0,10,5,246.75
"2019",0,10,6,104.85
"2019",0,10,7,833.33
"2019",0,10,8,414.2
"2019",0,10,10,177.42
"2019",0,10,11,528
"2019",0,10,12,333.33
"2019",0,10,13,1012.5
"2019",0,10,14,271.36
"2019",0,10,15,152.51
"2019",0,10,16,392.86
"2019",0,10,17,48.9
"2019",0,10,18,90.05
"2019",0,10,19,2000
"2019",0,10,21,421.38
"2019",0,10,22,812.5
"2019",0,10,23,302.52
"2019",0,10,24,279.41
"2019",0,10,25,1625
"2019",0,10,26,444.44
"2019",0,10,27,99.96
"2019",0,10,29,427.25
"2019",0,10,30,147.06
"2019",0,10,31,85.85
"2019",0,10,32,226.18
"2019",0,10,33,178.95
"2019",0,10,34,117.03
"2019",0,10,35,500
"2019",0,10,36,2136.36
"2019",0,10,37,265.16
"2019",0,10,38,112.07
"2019",0,10,39,339.85
"2019",0,11,1,86.36
"2019",0,11,2,101.08
"2019",0,11,3,61.13
"2019",0,11,4,50.49
"2019",0,11,5,76.72
"2019",0,11,6,48.43
"2019",0,11,7,77.52
"2019",0,11,8,110.38
"2019",0,11,9,60.69
"2019",0,11,10,114.58
"2019",0,11,11,64.62
"2019",0,11,12,91.6
"2019",0,11,13,99.25
"2019",0,11,14,106.79
"2019",0,11,15,64.41
"2019",0,11,16,68.16
"2019",0,11,17,29.66
"2019",0,11,18,45.51
"2019",0,11,19,63.65
"2019",0,11,20,97.56
"2019",0,11,21,94.88
"2019",0,11,22,108.45
"2019",0,11,23,83.88
"2019",0,11,24,73.49
"2019",0,11,25,101.72
"2019",0,11,26,120.72
"2019",0,11,27,55.12
"2019",0,11,28,76.26
"2019",0,11,29,82.04
"2019",0,11,30,49.72
"2019",0,11,31,52.14
"2019",0,11,32,76.23
"2019",0,11,33,76.39
"2019",0,11,34,59.75
"2019",0,11,35,125.58
"2019",0,11,36,74.99
"2019",0,11,37,68.63
"2019",0,11,38,48.16
"2019",0,11,39,82.49
"2019",0,12,3,104.76
"2019",0,12,6,144.42
"2019",0,12,8,1300
"2019",0,12,11,345.45
"2019",0,12,13,923.08
"2019",0,12,15,89.39
"2019",0,12,17,110.67
"2019",0,12,18,66.84
"2019",0,12,27,125.27
"2019",0,12,29,1157.89
"2019",0,12,31,91.82
"2019",0,12,32,232.74
"2019",0,12,34,140.16
"2019",0,12,37,176.99
"2019",0,12,39,323.81
"2019",1,0,1,51.22
"2019",1,0,2,97.83
"2019",1,0,3,73.08
"2019",1,0,4,45.45
"2019",1,0,5,126.96
"2019",1,0,6,58.01
"2019",1,0,7,65.57
"2019",1,0,8,143.16
"2019",1,0,9,53.62
"2019",1,0,10,174.42
"2019",1,0,11,54.21
"2019",1,0,12,600
"2019",1,0,13,90.91
"2019",1,0,14,121.97
"2019",1,0,15,74.01
"2019",1,0,16,110.22
"2019",1,0,17,35.14
"2019",1,0,18,56.96
"2019",1,0,19,63.41
"2019",1,0,20,174.45
"2019",1,0,21,121.41
"2019",1,0,22,178.81
"2019",1,0,23,83.59
"2019",1,0,24,92.57
"2019",1,0,25,104.62
"2019",1,0,26,113.99
"2019",1,0,27,70.15
"2019",1,0,28,123.76
"2019",1,0,29,114.27
"2019",1,0,30,57.29
"2019",1,0,31,60.18
"2019",1,0,32,96.6
"2019",1,0,33,108.66
"2019",1,0,34,74.56
"2019",1,0,35,1111.11
"2019",1,0,36,95.2
"2019",1,0,37,87.97
"2019",1,0,38,66.59
"2019",1,0,39,91.68
"2019",1,1,3,76.92
"2019",1,1,5,467.53
"2019",1,1,6,175.68
"2019",1,1,8,687.5
"2019",1,1,10,100
"2019",1,1,13,1000
"2019",1,1,14,218.75
"2019",1,1,17,288.4
"2019",1,1,18,382.35
"2019",1,1,23,600
"2019",1,1,24,100.84
"2019",1,1,27,246.58
"2019",1,1,29,777.78
"2019",1,1,31,283.33
"2019",1,1,32,261.78
"2019",1,1,33,279.07
"2019",1,1,34,217.95
"2019",1,1,37,543.1
"2019",1,1,39,329.73
"2019",1,2,3,7.41
"2019",1,2,6,3.97
"2019",1,2,14,333.33
"2019",1,2,15,61.54
"2019",1,2,17,9.36
"2019",1,2,18,28.71
"2019",1,2,27,34.31
"2019",1,2,29,250
"2019",1,2,31,15.56
"2019",1,2,32,43.65
"2019",1,2,34,39.11
"2019",1,2,37,30.67
"2019",1,2,38,12.82
"2019",1,3,3,180
"2019",1,3,6,188.68
"2019",1,3,13,277.78
"2019",1,3,15,66.67
"2019",1,3,17,92.07
"2019",1,3,18,45.25
"2019",1,3,27,112.62
"2019",1,3,31,67.65
"2019",1,3,32,242.27
"2019",1,3,34,235.9
"2019",1,3,37,187.5
"2019",1,3,39,294.12
"2019",1,4,6,272.73
"2019",1,4,17,74.07
"2019",1,4,18,33.33
"2019",1,4,27,74.79
"2019",1,4,31,190
"2019",1,4,32,137.25
"2019",1,4,34,409.09
"2019",1,5,1,72.99
"2019",1,5,2,73.91
"2019",1,5,3,73.67
"2019",1,5,4,48.31
"2019",1,5,5,88.04
"2019",1,5,6,49.45
"2019",1,5,7,81.97
"2019",1,5,8,130.86
"2019",1,5,9,57.36
"2019",1,5,10,144.74
"2019",1,5,11,64.69
"2019",1,5,12,266.67
"2019",1,5,13,105.94
"2019",1,5,14,111.2
"2019",1,5,15,55.59
"2019",1,5,16,99.46
"2019",1,5,17,25.87
"2019",1,5,18,45.73
"2019",1,5,19,48.04
"2019",1,5,20,149.53
"2019",1,5,21,112.8
"2019",1,5,22,165.56
"2019",1,5,23,74.36
"2019",1,5,24,100
"2019",1,5,25,107.26
"2019",1,5,26,103.63
"2019",1,5,27,58.21
"2019",1,5,28,131.31
"2019",1,5,29,97.92
"2019",1,5,30,57.29
"2019",1,5,31,55.53
"2019",1,5,32,78.97
"2019",1,5,33,86.15
"2019",1,5,34,61.99
"2019",1,5,35,1111.11
"2019",1,5,36,86.26
"2019",1,5,37,64.45
"2019",1,5,38,59.92
"2019",1,5,39,110.48
"2019",1,6,3,1.71
"2019",1,6,4,5.35
"2019",1,6,6,9.26
"2019",1,6,9,19.11
"2019",1,6,11,1.18
"2019",1,6,13,3.32
"2019",1,6,15,35.71
"2019",1,6,17,1.44
"2019",1,6,24,8.55
"2019",1,6,29,7.14
"2019",1,6,31,2.07
"2019",1,6,34,5.56
"2019",1,6,36,7.69
"2019",1,6,37,5.71
"2019",1,6,39,2.66
"2019",1,8,3,145.16
"2019",1,8,4,233.33
"2019",1,8,5,219.51
"2019",1,8,6,63.88
"2019",1,8,8,273.97
"2019",1,8,11,153.85
"2019",1,8,13,112.9
"2019",1,8,14,156.86
"2019",1,8,15,71.43
"2019",1,8,17,69.22
"2019",1,8,18,71.22
"2019",1,8,21,400
"2019",1,8,23,71.43
"2019",1,8,24,52.63
"2019",1,8,27,86.08
"2019",1,8,29,176.47
"2019",1,8,31,86.25
"2019",1,8,32,229.21
"2019",1,8,34,73.1
"2019",1,8,36,3000
"2019",1,8,37,184.05
"2019",1,8,38,166.67
"2019",1,8,39,85.56
"2019",1,9,1,19.55
"2019",1,9,3,52.54
"2019",1,9,4,31.61
"2019",1,9,5,84.51
"2019",1,9,6,67.88
"2019",1,9,8,82.03
"2019",1,9,9,47.46
"2019",1,9,11,37.86
"2019",1,9,13,46.33
"2019",1,9,14,55.81
"2019",1,9,15,12.27
"2019",1,9,17,33.91
"2019",1,9,18,47.62
"2019",1,9,19,83.33
"2019",1,9,20,41.67
"2019",1,9,21,65.33
"2019",1,9,23,15.62
"2019",1,9,24,12.66
"2019",1,9,25,96.77
"2019",1,9,27,50.37
"2019",1,9,28,444.44
"2019",1,9,29,58.92
"2019",1,9,31,41.96
"2019",1,9,32,107.25
"2019",1,9,34,55.46
"2019",1,9,36,75.71
"2019",1,9,37,67.57
"2019",1,9,38,32.26
"2019",1,9,39,67.54
"2019",1,10,2,62.5
"2019",1,10,3,136.56
"2019",1,10,5,467.29
"2019",1,10,6,105.71
"2019",1,10,8,678.57
"2019",1,10,10,272.73
"2019",1,10,11,566.67
"2019",1,10,12,2000
"2019",1,10,13,2777.78
"2019",1,10,14,235.96
"2019",1,10,15,263.64
"2019",1,10,16,100
"2019",1,10,17,38.85
"2019",1,10,18,147.69
"2019",1,10,21,1058.82
"2019",1,10,22,125
"2019",1,10,23,736.84
"2019",1,10,24,203.7
"2019",1,10,26,500
"2019",1,10,27,115.46
"2019",1,10,29,641.03
"2019",1,10,30,142.86
"2019",1,10,31,81.14
"2019",1,10,32,252.71
"2019",1,10,33,294.12
"2019",1,10,34,116.25
"2019",1,10,37,312.98
"2019",1,10,38,32.61
"2019",1,10,39,299.32
"2019",1,11,1,120.97
"2019",1,11,2,83.33
"2019",1,11,3,69.11
"2019",1,11,4,46.56
"2019",1,11,5,89.86
"2019",1,11,6,46.6
"2019",1,11,7,34.48
"2019",1,11,8,128.84
"2019",1,11,9,44.66
"2019",1,11,10,146.67
"2019",1,11,11,50.09
"2019",1,11,12,214.29
"2019",1,11,13,111.59
"2019",1,11,14,116.95
"2019",1,11,15,60.8
"2019",1,11,16,91.16
"2019",1,11,17,23.52
"2019",1,11,18,45.33
"2019",1,11,19,41.72
"2019",1,11,20,136.67
"2019",1,11,21,111.19
"2019",1,11,22,174.83
"2019",1,11,23,79.2
"2019",1,11,24,109.43
"2019",1,11,25,90.91
"2019",1,11,26,106.95
"2019",1,11,27,56.34
"2019",1,11,28,112.9
"2019",1,11,29,103.07
"2019",1,11,30,64.86
"2019",1,11,31,53.32
"2019",1,11,32,77.25
"2019",1,11,33,86.06
"2019",1,11,34,61.34
"2019",1,11,35,1333.33
"2019",1,11,36,72.64
"2019",1,11,37,63.39
"2019",1,11,38,57.1
"2019",1,11,39,89.33
"2019",1,12,3,190.48
"2019",1,12,6,186.87
"2019",1,12,13,1666.67
"2019",1,12,15,67.8
"2019",1,12,17,93.54
"2019",1,12,18,48.78
"2019",1,12,27,116.87
"2019",1,12,31,69.34
"2019",1,12,32,247.25
"2019",1,12,34,239.13
"2019",1,12,37,181.82
"2019",1,12,39,428.57
"2019",2,0,1,54.32
"2019",2,0,2,77.12
"2019",2,0,3,49.27
"2019",2,0,4,39.36
"2019",2,0,5,68.92
"2019",2,0,6,50.3
"2019",2,0,7,89.89
"2019",2,0,8,91.39
"2019",2,0,9,59.19
"2019",2,0,10,82.51
"2019",2,0,11,57.12
"2019",2,0,12,36.7
"2019",2,0,13,63.29
"2019",2,0,14,94.04
"2019",2,0,15,61.37
"2019",2,0,16,56.27
"2019",2,0,17,39.13
"2019",2,0,18,41.59
"2019",2,0,19,69.21
"2019",2,0,20,93.96
"2019",2,0,21,75.58
"2019",2,0,22,116.2
"2019",2,0,23,74.98
"2019",2,0,24,67.35
"2019",2,0,25,95.65
"2019",2,0,26,118.67
"2019",2,0,27,55.3
"2019",2,0,28,75.93
"2019",2,0,29,76.38
"2019",2,0,30,48.74
"2019",2,0,31,49.18
"2019",2,0,32,72.56
"2019",2,0,33,59.15
"2019",2,0,34,58.01
"2019",2,0,35,69.62
"2019",2,0,36,64.47
"2019",2,0,37,65.36
"2019",2,0,38,49.11
"2019",2,0,39,70.75
"2019",2,1,3,58.82
"2019",2,1,4,125
"2019",2,1,5,180.95
"2019",2,1,6,102.27
"2019",2,1,8,144.74
"2019",2,1,10,106.38
"2019",2,1,11,800
"2019",2,1,13,228.57
"2019",2,1,14,178.34
"2019",2,1,15,142.86
"2019",2,1,16,833.33
"2019",2,1,17,108.23
"2019",2,1,18,64.04
"2019",2,1,21,116.67
"2019",2,1,23,95.65
"2019",2,1,24,186.6
"2019",2,1,26,333.33
"2019",2,1,27,91.04
"2019",2,1,29,168
"2019",2,1,31,169.13
"2019",2,1,32,140.7
"2019",2,1,33,8.55
"2019",2,1,34,185.57
"2019",2,1,36,750
"2019",2,1,37,214.52
"2019",2,1,39,271.88
"2019",2,2,3,3.16
"2019",2,2,4,285.71
"2019",2,2,5,222.22
"2019",2,2,6,15.59
"2019",2,2,8,20
"2019",2,2,11,44.78
"2019",2,2,13,90.91
"2019",2,2,14,38.46
"2019",2,2,15,32.43
"2019",2,2,17,20.99
"2019",2,2,18,18.37
"2019",2,2,19,500
"2019",2,2,21,166.67
"2019",2,2,27,33.43
"2019",2,2,29,90.91
"2019",2,2,31,17.26
"2019",2,2,32,28.47
"2019",2,2,34,43.85
"2019",2,2,37,34.29
"2019",2,2,38,62.5
"2019",2,2,39,32.47
"2019",2,3,3,65.69
"2019",2,3,6,111.43
"2019",2,3,8,583.33
"2019",2,3,11,166.67
"2019",2,3,13,272.73
"2019",2,3,15,98.9
"2019",2,3,17,94.58
"2019",2,3,18,52.11
"2019",2,3,27,105.97
"2019",2,3,29,560
"2019",2,3,31,81.19
"2019",2,3,32,189.13
"2019",2,3,34,92.9
"2019",2,3,36,6000
"2019",2,3,37,134.02
"2019",2,3,39,156.25
"2019",2,4,6,90.05
"2019",2,4,15,250
"2019",2,4,17,81.46
"2019",2,4,18,55.94
"2019",2,4,27,49.03
"2019",2,4,31,219.78
"2019",2,4,32,270.59
"2019",2,4,34,76.92
"2019",2,4,37,230.77
"2019",2,5,1,72.73
"2019",2,5,2,67.8
"2019",2,5,3,48.96
"2019",2,5,4,42.05
"2019",2,5,5,58.27
"2019",2,5,6,43.8
"2019",2,5,7,67.42
"2019",2,5,8,86.35
"2019",2,5,9,58.88
"2019",2,5,10,50.78
"2019",2,5,11,82.6
"2019",2,5,12,36.7
"2019",2,5,13,72.66
"2019",2,5,14,83.21
"2019",2,5,15,57.26
"2019",2,5,16,45.9
"2019",2,5,17,31.64
"2019",2,5,18,39.03
"2019",2,5,19,57.36
"2019",2,5,20,71.79
"2019",2,5,21,69.05
"2019",2,5,22,95.07
"2019",2,5,23,68.88
"2019",2,5,24,52.77
"2019",2,5,25,82.79
"2019",2,5,26,104.57
"2019",2,5,27,47.91
"2019",2,5,28,56.85
"2019",2,5,29,69.9
"2019",2,5,30,30.25
"2019",2,5,31,45.27
"2019",2,5,32,60.92
"2019",2,5,33,56.11
"2019",2,5,34,49.66
"2019",2,5,35,94.94
"2019",2,5,36,60.79
"2019",2,5,37,59.07
"2019",2,5,38,42.46
"2019",2,5,39,82.15
"2019",2,6,1,5.51
"2019",2,6,3,6.64
"2019",2,6,4,8.47
"2019",2,6,6,3.34
"2019",2,6,9,16.09
"2019",2,6,11,5.75
"2019",2,6,13,2.54
"2019",2,6,14,6.8
"2019",2,6,17,3.22
"2019",2,6,19,49.18
"2019",2,6,21,5.46
"2019",2,6,27,4.72
"2019",2,6,28,333.33
"2019",2,6,29,1.54
"2019",2,6,31,8.05
"2019",2,6,32,8.31
"2019",2,6,34,0
"2019",2,6,36,16.39
"2019",2,6,37,10.78
"2019",2,6,39,6.27
"2019",2,8,3,71.43
"2019",2,8,4,45.45
"2019",2,8,5,50.72
"2019",2,8,6,45.16
"2019",2,8,8,70.97
"2019",2,8,9,38.46
"2019",2,8,11,50.63
"2019",2,8,13,67.67
"2019",2,8,14,130.95
"2019",2,8,15,36.76
"2019",2,8,16,277.78
"2019",2,8,17,49.34
"2019",2,8,18,58.1
"2019",2,8,19,157.89
"2019",2,8,20,461.54
"2019",2,8,21,32.97
"2019",2,8,23,58.14
"2019",2,8,24,190.48
"2019",2,8,25,666.67
"2019",2,8,27,55.69
"2019",2,8,29,83.92
"2019",2,8,31,69.16
"2019",2,8,32,107.99
"2019",2,8,33,16.95
"2019",2,8,34,47.08
"2019",2,8,36,54.55
"2019",2,8,37,87.84
"2019",2,8,39,47.82
"2019",2,9,1,41.16
"2019",2,9,2,1000
"2019",2,9,3,57.13
"2019",2,9,4,26.9
"2019",2,9,5,109.68
"2019",2,9,6,67.63
"2019",2,9,8,76.92
"2019",2,9,9,60.05
"2019",2,9,11,46.3
"2019",2,9,13,44.17
"2019",2,9,14,67.42
"2019",2,9,15,44.55
"2019",2,9,16,181.82
"2019",2,9,17,53.75
"2019",2,9,18,38.11
"2019",2,9,19,149.61
"2019",2,9,20,43.86
"2019",2,9,21,70.82
"2019",2,9,23,104.71
"2019",2,9,24,28.78
"2019",2,9,25,63.49
"2019",2,9,27,58.77
"2019",2,9,28,185.19
"2019",2,9,29,66.78
"2019",2,9,30,111.11
"2019",2,9,31,62.89
"2019",2,9,32,90.75
"2019",2,9,33,173.91
"2019",2,9,34,44.09
"2019",2,9,36,36.94
"2019",2,9,37,66.28
"2019",2,9,38,161.29
"2019",2,9,39,56.17
"2019",2,10,2,833.33
"2019",2,10,3,124.34
"2019",2,10,4,542.86
