"date","ageSib","ethnicityCensus","geog","datacol"
2019,3,3,3,695
2019,3,3,4,3568
2019,3,3,5,1816
2019,3,3,6,458
2019,3,4,1,61
2019,3,4,2,0
2019,3,4,3,102
2019,3,4,4,474
2019,3,4,5,433
2019,3,4,6,131
2019,3,5,1,15542
2019,3,5,2,11537
2019,3,5,3,17955
2019,3,5,4,22181
2019,3,5,5,16571
2019,3,5,6,19345
2019,3,6,1,2754
2019,3,6,2,5990
2019,3,6,3,2224
2019,3,6,4,3510
2019,3,6,5,1585
2019,3,6,6,1466
2019,3,8,1,511
2019,3,8,2,498
2019,3,8,3,895
2019,3,8,4,1667
2019,3,8,5,1491
2019,3,8,6,803
2019,3,9,1,5090
2019,3,9,2,10555
2019,3,9,3,4566
2019,3,9,4,6717
2019,3,9,5,3411
2019,3,9,6,3207
2019,3,10,1,964
2019,3,10,2,497
2019,3,10,3,2723
2019,3,10,4,8154
2019,3,10,5,3169
2019,3,10,6,1749
2019,3,11,1,13518
2019,3,11,2,7487
2019,3,11,3,16052
2019,3,11,4,19630
2019,3,11,5,15179
2019,3,11,6,17929
2019,3,12,1,188
2019,3,12,2,85
2019,3,12,3,644
2019,3,12,4,3467
2019,3,12,5,1724
2019,3,12,6,429
2018,0,0,1,184015
2018,0,0,2,144429
2018,0,0,3,251582
2018,0,0,4,424898
2018,0,0,5,241458
2018,0,0,6,239642
2018,0,1,1,1580
2018,0,1,2,1170
2018,0,1,3,1839
2018,0,1,4,1560
2018,0,1,5,1541
2018,0,1,6,1751
2018,0,2,1,1239
2018,0,2,2,911
2018,0,2,3,9551
2018,0,2,4,34581
2018,0,2,5,6526
2018,0,2,6,4105
2018,0,3,1,855
2018,0,3,2,479
2018,0,3,3,2945
2018,0,3,4,15108
2018,0,3,5,8203
2018,0,3,6,2117
2018,0,4,1,197
2018,0,4,2,0
2018,0,4,3,409
2018,0,4,4,1812
2018,0,4,5,1640
2018,0,4,6,538
2018,0,5,1,78151
2018,0,5,2,50697
2018,0,5,3,100268
2018,0,5,4,140373
2018,0,5,5,91494
2018,0,5,6,103141
2018,0,6,1,7768
2018,0,6,2,17141
2018,0,6,3,6703
2018,0,6,4,10951
2018,0,6,5,4878
2018,0,6,6,4422
2018,0,8,1,2144
2018,0,8,2,1790
2018,0,8,3,4075
2018,0,8,4,8064
2018,0,8,5,6447
2018,0,8,6,3744
2018,0,9,1,14863
2018,0,9,2,29765
2018,0,9,3,14549
2018,0,9,4,22871
2018,0,9,5,11861
2018,0,9,6,10390
2018,0,10,1,4424
2018,0,10,2,2572
2018,0,10,3,14639
2018,0,10,4,44106
2018,0,10,5,14738
2018,0,10,6,9125
2018,0,11,1,71999
2018,0,11,2,39534
2018,0,11,3,93810
2018,0,11,4,130780
2018,0,11,5,86317
2018,0,11,6,98306
2018,0,12,1,795
2018,0,12,2,370
2018,0,12,3,2794
2018,0,12,4,14692
2018,0,12,5,7813
2018,0,12,6,2003
2018,1,0,1,42128
2018,1,0,2,31251
2018,1,0,3,58726
2018,1,0,4,116274
2018,1,0,5,56846
2018,1,0,6,52609
2018,1,1,1,369
2018,1,1,2,211
2018,1,1,3,383
2018,1,1,4,319
2018,1,1,5,360
2018,1,1,6,329
2018,1,2,1,330
2018,1,2,2,211
2018,1,2,3,2502
2018,1,2,4,10688
2018,1,2,5,1404
2018,1,2,6,868
2018,1,3,1,212
2018,1,3,2,84
2018,1,3,3,756
2018,1,3,4,3769
2018,1,3,5,1917
2018,1,3,6,407
2018,1,4,1,51
2018,1,4,2,0
2018,1,4,3,100
2018,1,4,4,405
2018,1,4,5,391
2018,1,4,6,66
2018,1,5,1,17911
2018,1,5,2,11273
2018,1,5,3,23007
2018,1,5,4,37684
2018,1,5,5,21337
2018,1,5,6,22688
2018,1,6,1,1600
2018,1,6,2,3471
2018,1,6,3,1455
2018,1,6,4,2787
2018,1,6,5,1190
2018,1,6,6,973
2018,1,8,1,568
2018,1,8,2,365
2018,1,8,3,1159
2018,1,8,4,2485
2018,1,8,5,1824
2018,1,8,6,972
2018,1,9,1,3359
2018,1,9,2,6150
2018,1,9,3,3507
2018,1,9,4,6164
2018,1,9,5,3126
2018,1,9,6,2464
2018,1,10,1,1133
2018,1,10,2,554
2018,1,10,3,3810
2018,1,10,4,13411
2018,1,10,5,3550
2018,1,10,6,1965
2018,1,11,1,16410
2018,1,11,2,8869
2018,1,11,3,21328
2018,1,11,4,34906
2018,1,11,5,19959
2018,1,11,6,21495
2018,1,12,1,185
2018,1,12,2,63
2018,1,12,3,719
2018,1,12,4,3656
2018,1,12,5,1788
2018,1,12,6,382
2018,2,0,1,102437
2018,2,0,2,75961
2018,2,0,3,144886
2018,2,0,4,232688
2018,2,0,5,137646
2018,2,0,6,140407
2018,2,1,1,836
2018,2,1,2,665
2018,2,1,3,1065
2018,2,1,4,887
2018,2,1,5,873
2018,2,1,6,1090
2018,2,2,1,660
2018,2,2,2,545
2018,2,2,3,5326
2018,2,2,4,17679
2018,2,2,5,3843
2018,2,2,6,2460
2018,2,3,1,445
2018,2,3,2,276
2018,2,3,3,1494
2018,2,3,4,7771
2018,2,3,5,4470
2018,2,3,6,1252
2018,2,4,1,85
2018,2,4,2,0
2018,2,4,3,207
2018,2,4,4,933
2018,2,4,5,816
2018,2,4,6,341
2018,2,5,1,44698
2018,2,5,2,27887
2018,2,5,3,59306
2018,2,5,4,80508
2018,2,5,5,53586
2018,2,5,6,61108
2018,2,6,1,3414
2018,2,6,2,7680
2018,2,6,3,3024
2018,2,6,4,4654
2018,2,6,5,2103
2018,2,6,6,1983
2018,2,8,1,1065
2018,2,8,2,927
2018,2,8,3,2021
2018,2,8,4,3912
2018,2,8,5,3132
2018,2,8,6,1969
2018,2,9,1,6414
2018,2,9,2,13060
2018,2,9,3,6476
2018,2,9,4,9990
2018,2,9,5,5324
2018,2,9,6,4719
2018,2,10,1,2327
2018,2,10,2,1521
2018,2,10,3,8106
2018,2,10,4,22541
2018,2,10,5,8019
2018,2,10,6,5411
2018,2,11,1,42071
2018,2,11,2,23178
2018,2,11,3,56430
2018,2,11,4,76244
2018,2,11,5,51179
2018,2,11,6,58882
2018,2,12,1,422
2018,2,12,2,222
2018,2,12,3,1431
2018,2,12,4,7569
2018,2,12,5,4301
2018,2,12,6,1192
2018,3,0,1,39450
2018,3,0,2,37217
2018,3,0,3,47970
2018,3,0,4,75936
2018,3,0,5,46966
2018,3,0,6,46626
2018,3,1,1,375
2018,3,1,2,294
2018,3,1,3,391
2018,3,1,4,354
2018,3,1,5,308
2018,3,1,6,332
2018,3,2,1,249
2018,3,2,2,155
2018,3,2,3,1723
2018,3,2,4,6214
2018,3,2,5,1279
2018,3,2,6,777
2018,3,3,1,198
2018,3,3,2,119
2018,3,3,3,695
2018,3,3,4,3568
2018,3,3,5,1816
2018,3,3,6,458
2018,3,4,1,61
2018,3,4,2,0
2018,3,4,3,102
2018,3,4,4,474
2018,3,4,5,433
2018,3,4,6,131
2018,3,5,1,15542
2018,3,5,2,11537
2018,3,5,3,17955
2018,3,5,4,22181
2018,3,5,5,16571
2018,3,5,6,19345
2018,3,6,1,2754
2018,3,6,2,5990
2018,3,6,3,2224
2018,3,6,4,3510
2018,3,6,5,1585
2018,3,6,6,1466
2018,3,8,1,511
2018,3,8,2,498
2018,3,8,3,895
2018,3,8,4,1667
2018,3,8,5,1491
2018,3,8,6,803
2018,3,9,1,5090
2018,3,9,2,10555
2018,3,9,3,4566
2018,3,9,4,6717
2018,3,9,5,3411
2018,3,9,6,3207
2018,3,10,1,964
2018,3,10,2,497
2018,3,10,3,2723
2018,3,10,4,8154
2018,3,10,5,3169
2018,3,10,6,1749
2018,3,11,1,13518
2018,3,11,2,7487
2018,3,11,3,16052
2018,3,11,4,19630
2018,3,11,5,15179
2018,3,11,6,17929
2018,3,12,1,188
2018,3,12,2,85
2018,3,12,3,644
2018,3,12,4,3467
2018,3,12,5,1724
2018,3,12,6,429
2017,0,0,1,184015
2017,0,0,2,144429
2017,0,0,3,251582
2017,0,0,4,424898
2017,0,0,5,241458
2017,0,0,6,239642
2017,0,1,1,1580
2017,0,1,2,1170
2017,0,1,3,1839
2017,0,1,4,1560
2017,0,1,5,1541
2017,0,1,6,1751
2017,0,2,1,1239
2017,0,2,2,911
2017,0,2,3,9551
2017,0,2,4,34581
2017,0,2,5,6526
2017,0,2,6,4105
2017,0,3,1,855
2017,0,3,2,479
2017,0,3,3,2945
2017,0,3,4,15108
2017,0,3,5,8203
2017,0,3,6,2117
2017,0,4,1,197
2017,0,4,2,0
2017,0,4,3,409
2017,0,4,4,1812
2017,0,4,5,1640
2017,0,4,6,538
2017,0,5,1,78151
2017,0,5,2,50697
2017,0,5,3,100268
2017,0,5,4,140373
2017,0,5,5,91494
2017,0,5,6,103141
2017,0,6,1,7768
2017,0,6,2,17141
2017,0,6,3,6703
2017,0,6,4,10951
2017,0,6,5,4878
2017,0,6,6,4422
2017,0,8,1,2144
2017,0,8,2,1790
2017,0,8,3,4075
2017,0,8,4,8064
2017,0,8,5,6447
2017,0,8,6,3744
2017,0,9,1,14863
2017,0,9,2,29765
2017,0,9,3,14549
2017,0,9,4,22871
2017,0,9,5,11861
2017,0,9,6,10390
2017,0,10,1,4424
2017,0,10,2,2572
2017,0,10,3,14639
2017,0,10,4,44106
2017,0,10,5,14738
2017,0,10,6,9125
2017,0,11,1,71999
2017,0,11,2,39534
2017,0,11,3,93810
2017,0,11,4,130780
2017,0,11,5,86317
2017,0,11,6,98306
2017,0,12,1,795
2017,0,12,2,370
2017,0,12,3,2794
2017,0,12,4,14692
2017,0,12,5,7813
2017,0,12,6,2003
2017,1,0,1,42128
2017,1,0,2,31251
2017,1,0,3,58726
2017,1,0,4,116274
2017,1,0,5,56846
2017,1,0,6,52609
2017,1,1,1,369
2017,1,1,2,211
2017,1,1,3,383
2017,1,1,4,319
2017,1,1,5,360
